Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,140.0,0,5,0,0,5,0,1,2,1.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,160.0,0,7,0,0,5,2,1,2,1.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,180.0,0,9,0,0,6,3,2,2,2.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,200.0,0,9,0,0,6,3,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,220.0,0,9,0,0,6,3,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,240.0,0,9,0,0,6,3,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,260.0,0,11,0,0,8,3,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,280.0,0,12,0,0,9,3,4,3,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,300.0,0,12,0,0,9,3,4,3,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,320.0,0,13,0,0,9,4,4,3,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,340.0,0,14,0,0,10,4,4,3,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,360.0,0,15,0,0,11,4,4,5,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,380.0,0,16,0,0,12,4,4,5,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,400.0,0,17,0,0,12,5,4,5,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,420.0,0,18,0,0,13,5,4,5,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,440.0,0,20,0,0,14,6,4,5,4.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,460.0,0,21,0,0,15,6,5,5,5.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,480.0,0,23,0,0,16,7,6,7,6.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,500.0,0,23,0,0,16,7,6,7,6.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,520.0,0,24,0,0,16,8,6,7,6.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,540.0,0,24,0,0,16,8,6,8,6.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,560.0,0,24,0,0,16,8,6,8,6.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,580.0,0,24,0,0,16,8,7,8,7.0,0.0
ScenarioSize64Probes32HelpfulC,3,4258223208824758363,0.125,0.0,0.125,600.0,0,27,0,0,18,9,7,8,7.0,0.0
